Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,Keyword
FINC 409,FINC - Finance (FINC),Survey of Finance Principles,"
   Finance survey for non-business majors; financial markets, the investment banking process, interest rates, financial intermediaries and the banking system, financial instruments, time value of money concepts, security valuation and selection, and international finance. May not be used to satisfy degree requirements for majors in business or agribusiness. Prerequisites: Junior or senior classification; for students other than business and agribusiness.
",UG,Lecture,False,2016-2017,,,,['agri']
FIVS 316,FIVS - Forensic & Inv Science (FIVS),Biotechnology and Forensics,"
   Introduction of applications of biotechnology for agriculture and human health purposes; description of experimental protocols used to create genetically modified organisms (GMOs); discussion of the risks, benefits, and regulations controlling the use of biotechnology in society. Prerequisites: GENE 301 or GENE 310 or FIVS 308 or approval of instructor.
",UG,Lecture,True,2016-2017,,,,"['agri', 'GMO']"
/SCSC 401,FIVS - Forensic & Inv Science (FIVS),Forensic Soil Science,"
   Examination of soils biology, chemistry and physical attributes to solve crimes; soil and geologic characteristics associated with crime scene examination; physical, biological and chemical characteristics and use of trace evidence. Prerequisite: Junior or senior classification. Cross Listing: SCSC 401/FIVS 401.
",UG,Lecture,True,2016-2017,,,,[' soil']
FRSC 420,FRSC - Forest Science (FRSC),Arboriculture,"
   Tree selection and planting to fit climatic, space and edaphic conditions; diagnosing tree abnormalities and practicing intensive tree care. Frequent field work and demonstrations. Prerequisite: Senior classification or approval of instructor.*
",UG,Lecture,True,2016-2017,,,,[' edaphic ']
FSTC 201,FSTC - Food Science & Tech (FSTC),Food Science,"
(AGRI 1329) Food Science.   The fundamental biological, chemical and physical scientific principles associated with the study of foods; topics include food composition and nutrition, food additives and regulations, food safety and toxicology, food processing, food engineering, food biotechnology, product development and sensory evaluation.
",UG,Lecture,False,2016-2017,,,,"[' additives ', 'agri', 'food', ' nutri']"
/NUTR 210,FSTC - Food Science & Tech (FSTC),Horizons in Nutrition and Food Science,"
   Introduction to nutrition and food science career opportunities through presentations by nutrition and food science researchers and industry professionals; addresses issues of professionalism including portfolio development, teamwork, and critical thinking skills. Cross Listing: NUTR 210/FSTC 210.
",UG,Lecture,False,2016-2017,,,,"['food', ' nutri']"
FSTC 285,FSTC - Food Science & Tech (FSTC),Directed Studies,"
  Directed study of selected problems in the area of food science. Prerequisites: Approval of instructor; 2.0 GPR in major and overall.
",UG,Other,False,2016-2017,,,,['food']
FSTC 289,FSTC - Food Science & Tech (FSTC),Special Topics in…,"
   Selected topics in an identified area of food science and technology. May be repeated for credit. Prerequisite: Approval of instructor.
",UG,Lecture,False,2016-2017,,,,['food']
FSTC 291,FSTC - Food Science & Tech (FSTC),Research,"
   Research conducted under the direction of faculty member in food science and technology. May be repeated 2 times for credit. Prerequisites: Freshman or sophomore classification and approval of department head.
",UG,Other,False,2016-2017,,,,['food']
/NUTR 300,FSTC - Food Science & Tech (FSTC),Religious and Ethnic Foods,"
   Understanding religious and ethnic foods with application to product development, production, and nutritional practices; emphasis on different food rules and priorities with attention given to different religious and ethnic groups within the US and around the world. Prerequisites: Junior or senior classification or approval of instructor; basic knowledge of food science and nutrition helpful. Cross Listing: NUTR 300/FSTC 300.
",UG,Lecture,False,2016-2017,,,,"['food', ' nutri']"
FSTC 305,FSTC - Food Science & Tech (FSTC),Fundamental Baking,"
   Fundamentals of baking; chemical and physical properties of ingredients, methods of baking all products, fundamental reactions of dough, fermentation and oven baking. Prerequisite: CHEM 222 or 227 or approval of department head.
",UG,Lecture,True,2016-2017,,,,"[' baking ', ' ferment']"
/ANSC 307,FSTC - Food Science & Tech (FSTC),Meats,"
   Integrated studies of the meat animal processing sequence regarding the production of meat-type animals and the science and technology of their conversion to human food. Prerequisites: ANSC 107 and 108 or approval of department head. Cross Listing: ANSC 307/FSTC 307.
",UG,Lecture,True,2016-2017,,,,"[' animal', 'food', ' meat']"
/HORT 311,FSTC - Food Science & Tech (FSTC),Principles of Food Processing,"
   Principles and practices of canning, freezing, dehydration, pickling and specialty food manufacture; fundamental concepts of various techniques of preparation, processing, packaging and use of additives; processing plants visited. Prerequisite: FSTC 201; junior or senior classification or approval of department head or instructor. Cross Listing: HORT 311/FSTC 311.
",UG,Lecture,True,2016-2017,,,,"['food', 'freez']"
/DASC 312,FSTC - Food Science & Tech (FSTC),Food Chemistry,"
   The fundamental and relevant chemistry and functionality of the major food constituents (water, carbohydrates, lipids, proteins, phytochemical nutraceuticals) and study of food emulsion systems, acids, enzymes, gels, colors, flavors and toxins. Prerequisite: FSTC 201; CHEM 227; CHEM 237 or approval of department head or instructor. Cross Listing: DASC 312/FSTC 312.
",UG,Lecture,False,2016-2017,,,,"[' carbohydrate', ' flavor', 'food', ' lipid', ' nutra', ' phytochemical', ' protein']"
/DASC 313,FSTC - Food Science & Tech (FSTC),Food Chemistry Laboratory,"
   Laboratory exercises investigating specific molecules, such as food acids, enzymes, pigments and flavors, and chemical interactions in foods, such as oxidation reactions, emulsion systems, and functional properties from a fundamental chemistry rather than an analytical perspective. Prerequisite: FSTC 201; CHEM 227; CHEM 237 or approval of department head or instructor. Cross Listing: DASC 313/FSTC 313.
",UG,Other,True,2016-2017,,,,"[' flavor', 'food', ' pig']"
/DASC 314,FSTC - Food Science & Tech (FSTC),Food Analysis,"
   Selected standard methods for assay of food components; principles and methodology of both classical and instrumental techniques in food analysis. Prerequisite: FSTC 201; FSTC 311/HORT 311; CHEM 227; CHEM 237 or approval of department head or instructor. Cross Listing: DASC 314/FSTC 314.
",UG,Lecture,True,2016-2017,,,,['food']
/AGSM 315,FSTC - Food Science & Tech (FSTC),Food Process Engineering Technology,"
   Elementary mechanics, power transmission, steam and steam boilers, pipes and pipe fitting, refrigeration and insulation, temperature measurement and control, electric motors, disposal of waste products, and mechanical problems as applied to foods and food processing. Prerequisites: PHYS 201 or PHYS 218; junior or senior classification or approval of instructor. Cross Listing: AGSM 315/FSTC 315.
",UG,Lecture,True,2016-2017,,,,"['food', ' refrigerat']"
/DASC 326,FSTC - Food Science & Tech (FSTC),Food Bacteriology,"
   Microbiology of human foods and accessory substances. Raw and processed foods; physical, chemical and biological phases of spoilage. Standard industry techniques of inspection and control. Prerequisite: BIOL 206 or approval of instructor; junior or senior classification. Cross Listing: DASC 326/FSTC 326.
",UG,Lecture,False,2016-2017,,,,"['food', ' spoil']"
/DASC 327,FSTC - Food Science & Tech (FSTC),Food Bacteriology Lab,"
   Laboratory to accompany FSTC 326/DASC 326. Cross Listing: DASC 327/FSTC 327.
",UG,Other,True,2016-2017,,,,['food']
/DASC 330,FSTC - Food Science & Tech (FSTC),Dairy and Food Technology,"
   Principles and practices involved in processing of milk into market milk, butter, cheese and cheese foods; fundamental principles of these processes as related to their design and control. Cross Listing: DASC 330.
",UG,Lecture,True,2016-2017,,,,"['butter', 'cheese', ' dairy ', 'food', ' milk ']"
/DASC 331,FSTC - Food Science & Tech (FSTC),Dairy and Food Technology,"
   Manufacture of frozen, freeze-dehydrated, concentrated and dehydrated dairy foods; fundamental aspects of freezing, concentration and dehydration of foods. Prerequisite: FSTC 330/DASC 330 or approval of department head. Cross Listing: DASC 331.
",UG,Lecture,True,2016-2017,,,,"[' dairy ', 'food', 'freez']"
FSTC 401,FSTC - Food Science & Tech (FSTC),Food Product Development,"
   Design and develop food products using principles of food chemistry, food processing, nutrition, sensory analysis and statistics; team collaborate to improve food product characteristics to meet the needs of a changing society. Prerequisites: FSTC 201, FSTC 311/HORT 311, FSTC 312/DASC 312, FSTC 313/DASC 313, FSTC 314/DASC 314, FSTC 315/AGSM 315, FSTC 326/DASC 326 or registration therein; senior classification or approval of instructor.
",UG,Lecture,True,2016-2017,,,,"['food', ' nutri']"
/POSC 405,FSTC - Food Science & Tech (FSTC),Egg and Poultry Meat Processing,"
   Principles of egg and poultry meat processing, understanding egg and poultry meat markets, egg and meat grading, product safety, packaging and consumer acceptance of shell eggs and poultry meat, specifically turkey and broilers.  Prerequisites: Junior or senior classification or approval of instructor. Cross Listing: POSC 405/FSTC 405.
",UG,Lecture,False,2016-2017,,,,"['broiler', ' egg', ' meat', ' poultry ', ' turkey']"
/POSC 406,FSTC - Food Science & Tech (FSTC),Poultry Further Processing,"
   Science and practice of value-added products; physical, chemical, microbiological and functional characteristics of value-added poultry products as they affect consumer acceptance, efficiency of production and regulatory approval. Prerequisites: CHEM 222; DASC 326/FSTC 326/FSTC 326/DASC 326; POSC 309; POSC 405/FSTC 405; junior or senior classification or approval of instructor. Cross Listing: POSC 406/FSTC 406.
",UG,Lecture,True,2016-2017,,,,[' poultry ']
/NUTR 410,FSTC - Food Science & Tech (FSTC),Nutritional Pharmacometrics of Food Compounds,"
    Nutritional pharmacokinetics and pharmacodynamics of food compounds; specific examples of toxicological and pharmacological effects of food compounds. Prerequisites: NUTR 202 or NUTR 203 or FSTC 201 or CHEM 222 or CHEM 227 or approval of instructor; junior or senior classification. Cross Listing: NUTR 410/FSTC 410.
",UG,Lecture,False,2016-2017,,,,"['food', ' nutri']"
/NUTR 440,FSTC - Food Science & Tech (FSTC),Therapeutic Microbiology: Probiotics and Related Strategies,"
   Topics relevant to alimentary (gastrointestinal) microbiology including: (i) the ""normal"" intestinal microbiota; (ii) probiotic and prebiotic nutritional supplements; (iii) recombinant pharmabiotics; (iv) gut-associated lymphoid tissue and mucosal immunity; (v) foodborne gastrointestinal pathogens; and (vi) fermented products as functional foods. Prerequisites: Undergraduate survey course in microbiology or approval of instructor; junior or senior classification. Cross Listing: NUTR 440/FSTC 440.
",UG,Lecture,False,2016-2017,,,,"[' ferment', 'food', 'gastro', ' nutri']"
FSTC 444,FSTC - Food Science & Tech (FSTC),Fundamentals of Food Law,"
   History, development of, and fundamental principles behind current food regulations, including food labeling, adulteration, food safety, food additives, dietary supplements, and import and export laws; overview of government agency jurisdiction, international law and ethics. Prerequisite: FSTC 201; junior or senior classification.
",UG,Lecture,False,2016-2017,,,,"[' diet', 'food']"
/HORT 446,FSTC - Food Science & Tech (FSTC),Commercial Fruit and Vegetable Processing,"
   Pilot plant and laboratory operations pertaining to processed fruits, vegetables and beverages; new product development emphasized via individual laboratory projects. Prerequisite: FSTC 311/HORT 311. Cross Listing: HORT 446/FSTC 446. (Offered in even numbered years.)
",UG,Lecture,True,2016-2017,,,,"[' fruit', ' vegetable']"
/ANSC 457,FSTC - Food Science & Tech (FSTC),Hazard Analysis and Critical Control Point System,"
   Hazard Analysis and Critical Control Point (HACCP) principles specifically related to meat and poultry; microbiological and process overviews; good manufacturing practices and standard operating procedures development. Prerequisite: FSTC 326/DASC 326 or approval of instructor. Cross Listing: ANSC 457/FSTC 457.
",UG,Lecture,False,2016-2017,,,,[' meat']
/NUTR 469,FSTC - Food Science & Tech (FSTC),Experimental Nutrition and Food Science Laboratory,"
   Investigation of nutritional intervention in animal models of metabolic and psychological disorders (e.g. obesity and depression); investigational approaches: behavioral analyses; RNA and protein analyses; reverse transcription PCR. Prerequisites: CHEM 227; CHEM 237; junior or senior classification or approval of instructor. Cross Listing: NUTR 469/FSTC 469.
",UG,Lecture,True,2016-2017,,,,"[' animal', 'food', ' metaboli', ' nutri', ' obesity ', ' protein']"
/ANSC 470,FSTC - Food Science & Tech (FSTC),Quality Assurance for the Food Industry,"
   Principles of food system process control including statistical process control (SPC) and the tools required to assure uniform communication and understanding of quality assurance systems. Prerequisite: Junior or senior classification. Cross Listing: ANSC 470/FSTC 470.
",UG,Lecture,False,2016-2017,,,,['food']
/NUTR 471,FSTC - Food Science & Tech (FSTC),Critical Evaluation of Nutrition and Food Science Literature: Evidence Based Reviews,"
   Evaluation of scientific literature, research methods within the literature, and the quality of scientific studies to produce an evidence-based review in areas specific to nutrition and food science. Prerequisites: NUTR 202 or NUTR 203 and STAT 302; junior or senior classification; knowledge of technical writing helpful. Cross Listing: NUTR 471/FSTC 471.
",UG,Lecture,False,2016-2017,,,,"['food', ' nutri']"
FSTC 481,FSTC - Food Science & Tech (FSTC),Seminar,"
   Guidelines and practice in journal article review and making effective technical presentations; strategies for conducting a job search; development of résumés and letters and interviewing targeted for careers in the food industry or graduate school. Prerequisite: Senior classification in food science and technology.
",UG,Lecture,False,2016-2017,,,,['food']
FSTC 485,FSTC - Food Science & Tech (FSTC),Directed Studies,"
   Directed study on selected problems in the area of food technology not covered in other courses. Prerequisites: Junior or senior classification; approval of department head; 2.0 GPR in major and overall.
",UG,Other,False,2016-2017,,,,['food']
/ANSC 487,FSTC - Food Science & Tech (FSTC),Sensory Evaluation of Foods,"
   Application of sensory science principles and practices to food systems including an understanding of discriminative, descriptive and consumer sensory techniques; Prerequisites: CHEM 222 or CHEM 228; junior or senior classification. Cross Listing: ANSC 487/FSTC 487.
",UG,Lecture,True,2016-2017,,,,['food']
FSTC 489,FSTC - Food Science & Tech (FSTC),Special Topics in...,"
    Selected topics in an identified area of food science and technology. May be repeated for credit.
",UG,Lecture,False,2016-2017,,,,['food']
FSTC 491,FSTC - Food Science & Tech (FSTC),Research,"
   Research conducted under the direction of faculty member in food science and technology. May be repeated 3 times for credit. Registration in multiple sections of this course are possible within a given semester provided that the per semester credit hour limit is not exceeded.
",UG,Other,False,2016-2017,,,,['food']
GENE 312,GENE - Genetics (GENE),Comprehensive Genetics Laboratory,"
   Exercises in Mendelian genetics, meiosis, probability theory in pedigrees, population and quantitative genetics, as well as other genetics theory; molecular techniques to examine DNA and analyze outcomes. Prerequisite: GENE 301 or GENE 302 or registration therein.
",UG,Lecture,True,2016-2017,,,,[' pedigree']
GENE 315,GENE - Genetics (GENE),Genetics of Plants,"
   Fundamental genetic principles as applied to plants: transmission, replication, expression and interaction of genes; linkage, recombination and mapping; chromosomal and gene mutation; behavior of genes in populations; selection, mating systems, cytoplasmic inheritance; molecular analysis and manipulation of genes and gene products; genetically modified plants. Not open to biochemistry or genetics majors. No credit will be given for more than one of GENE 301, GENE 302, GENE 315 or GENE 320/BIMS 320. Prerequisite: BIOL 101 or BIOL 111.
",UG,Lecture,False,2016-2017,,,,[' mating ']
/BIMS 320,GENE - Genetics (GENE),Biomedical Genetics,"
   Fundamental genetic principles as applied to biomedical science; Mendelian inheritance, linkage and genetic mapping, mutagenesis and pedigree analysis; molecular basis of gene function and inherited disease; gene therapy and genetic counseling. No credit will be given for more than one of GENE 301, GENE 302, GENE 315 or GENE 320/BIMS 320. Prerequisite: BIMS major with a minimum overall 2.5 Texas A&M GPA. Cross Listing: BIMS 320/GENE 320.
",UG,Lecture,False,2016-2017,,,,[' pedigree']
GENE 404,GENE - Genetics (GENE),Plant Breeding,"
   Application of genetics and other sciences to the breeding and improvement of horticultural crops; methods and special techniques employed. Prerequisite: GENE 301. Cross Listing: HORT 404/GENE 404. Credit cannot be given for HORT 404/GENE 404 and SCSC 304.
",UG,Lecture,True,2016-2017,,,,"['breed', 'crop', ' horticult']"
/BIMS 405,GENE - Genetics (GENE),Mammalian Genetics,"
   Comparative mammalian genetic systems with emphasis on laboratory animals; organization and expression of mammalian genes; development and use of genetically defined animals in biomedical and genetic research. Prerequisite: GENE 302. Cross Listing: BIMS 405/GENE 405.
",UG,Lecture,False,2016-2017,,,,[' animal']
/MEPS 411,GENE - Genetics (GENE),Biotechnology for Crop Improvement,"
   Use of biotechnology to improve agricultural, horticultural and forest crops; techniques and methods used and case studies where biotechnology has been used to alter traits such as pathogen resistance, protein or oil consumption, ripening, fertility and wood properties. Prerequisite: BIOL 111 or equivalent. Cross Listing: MEPS 411/GENE 411.
",UG,Lecture,False,2016-2017,,,,"['agri', 'crop', ' horticult', ' pathogen ', ' protein']"
GENE 420,GENE - Genetics (GENE),Bioethics,"
   The application of ethical theory to the use of modern genetics and biochemistry stressing the social implications of genetic engineering, agricultural manipulation and biotechnology. Prerequisites: GENE 302; BICH 410 or BICH 440.
",UG,Lecture,False,2016-2017,,,,['agri']
GENE 450,GENE - Genetics (GENE),Recombinant DNA and Biotechnology,"
   Basic genetic engineering techniques; cloning with plasmid, lambda, cosmid and M13 vectors; gene libraries; DNA sequencing and mutagenesis; PCR; eucaryotic expression with yeast, baculovirus and mammalian vectors; transgenic animals and plants; gene therapy; monoclonal antibodies; bioremediation. Prerequisites: BICH 431/GENE 431 or GENE 431/BICH 431 or concurrent registration; BICH 411 or 441 or concurrent registration.
",UG,Lecture,False,2016-2017,,,,"[' animal', 'bioremed', ' lamb', ' transgenic', ' yeast']"
/BIMS 452,GENE - Genetics (GENE),Modifying Mammalian Genomes for Biomedical Research,"
   Review advances in the production of transgenic animals, the manipulation of embryonic stem cells for transgenics and therapeutics, the modification of specific genes in mammalian species by homologous recombination and RNA interference; special emphasis on genetic manipulation of cells and animals for biomedical research, stem-cell and gene therapy. Prerequisite: GENE 302. Cross Listing: BIMS 452/GENE 452.
",UG,Lecture,False,2016-2017,,,,"[' animal', ' transgenic']"
GEOG 201,GEOG - Geography (GEOG),Introduction to Human Geography,"
   A survey of the major systems of man-land relations of the world and their dissimilar developments; the processes of innovation, diffusion, and adaptation stressed with regard to changing relationships between people and their environment.
",UG,Lecture,True,2016-2017,,,,['land']
GEOG 203,GEOG - Geography (GEOG),Planet Earth,"
(GEOG 1301) Planet Earth.   Earth’s physical environment including climate, water, landforms, and ecosystems; processes that control these systems and their global distributions; human effects on these processes.
",UG,Lecture,True,2016-2017,,,,['land']
GEOG 304,GEOG - Geography (GEOG),Economic Geography,"
   Location of economic activities over the earth; distribution of agriculture, manufacturing, tertiary activities and transportation; economic growth of areas.
",UG,Lecture,False,2016-2017,,,,['agri']
GEOG 311,GEOG - Geography (GEOG),Cultural Geography,"
   Human factors which affect man-land relationship; concept of culture, culture areas; population growth and migrations, types of economic activity, urban and transportation geography.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 320,GEOG - Geography (GEOG),The Middle East,"
   Regional geography of the Middle East; physical setting and the historical evolution of Middle Eastern landscapes; current issues. Prerequisites: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 323,GEOG - Geography (GEOG),Geography of Latin America,"
   Physical and cultural characteristics of Latin America; physical landscape, cultural succession and the present cultural landscape; details on sub-regions.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 324,GEOG - Geography (GEOG),Global Climatic Regions,"
   Climatological processes and their consequences for spatial distributions of climates; survey of earth's climates; relationships among climate, landforms, vegetation, soils and humans. Prerequisite: GEOG 203 or ATMO 201 or approval of instructor.
",UG,Lecture,False,2016-2017,,,,"['land', ' soil']"
GEOG 325,GEOG - Geography (GEOG),Geography of Europe,"
   Regional geography of European landmass; global, political and cultural characteristics of European geography in historical and ecological contexts. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 327,GEOG - Geography (GEOG),Geography of South Asia,"
   South Asian geography; political and physical geographic divisions of South Asia; diversity of region; people, history, religion, cultures, political systems, rural and urban settings, climate, and environment; current problems and solutions. Prerequisite: Junior or senior classification or approval of instructor.
",UG,Lecture,False,2016-2017,,,,[' rural ']
GEOG 330,GEOG - Geography (GEOG),Resources and the Environment,"
   Changing demand for land and sea resources; international conditions of population growth, resource depletion and geopolitical control; resource perceptions and decision-making.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 331,GEOG - Geography (GEOG),Geomorphology,"
   Principles and fundamentals of landform analysis. Laboratory work in advanced map interpretation. Prerequisite: GEOL 101 or GEOG 203.
",UG,Lecture,True,2016-2017,,,,['land']
GEOG 335,GEOG - Geography (GEOG),Pattern and Process in Biogeography,"
   Distribution of organisms across the earth and on environmental and cultural processes that have contributed to these patterns of distribution; dynamic nature of biogeographic patterns; impacts of contemporary and prehistoric humans on plant and animal distributions; methods for exploring biogeographic patterns and detecting change. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,[' animal']
/MARS 370,GEOG - Geography (GEOG),Coastal Processes,"
   Introduction to the coastal system, waves and wave dominated coasts, shoreline morphodynamics, tidal and lake coasts, long term coastal development, sea level changes, subtidal and beach ecosystems, coastal dunes and wetlands, structures and organizations, coastal management and coastal hazards. Cross Listing: MARS 370/GEOG 370.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 398,GEOG - Geography (GEOG),Interpretation of Aerial Photographs,"
   Identification and evaluation of natural and cultural features on aerial photographs; methods for extracting information concerning land use, vegetative cover, surface and structural features, urban/industrial patterns and archaeological sites. Prerequisites: Junior or senior classification or approval of instructor.
",UG,Lecture,True,2016-2017,,,,['land']
GEOG 400,GEOG - Geography (GEOG),Arid Lands Geomorphology,"
   Introduction to the geomorphology of deserts; processes, origin and evolution of arid lands; urban geomorphology in drylands; desertification.
",UG,Lecture,False,2016-2017,,,,['land']
GEOG 404,GEOG - Geography (GEOG),"Spatial Thinking, Perception and Behavior","
   Spatial thinking, spatial perception of the environment and the ways thinking and perception influence spatial behavior; role of geospatial technologies in supporting spatial thinking; models of spatial thinking acquisition; cognitive maps and spatial decision making; developing spatial thinking and individual differences. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['geospatial']
GEOG 405,GEOG - Geography (GEOG),Field Trips,"
   Supervised field trip to investigate the physical, economic and cultural processes that influence the spatial development and distribution on the landscape. May be repeated for credit. Prerequisites: Geography course at the 200-level or registration therein; approval of instructor.
",UG,Other,False,2016-2017,,,,['land']
GEOG 434,GEOG - Geography (GEOG),Hydrology and Environment,"
   Examination of hydrologic processes in relation to climate, soils, vegetation, land use practices, and human impacts; natural scientific perspectives emphasized; field and laboratory included. Prerequisite: GEOG 203 or equivalent.
",UG,Lecture,True,2016-2017,,,,"['land', ' soil']"
/GEOS 442,GEOG - Geography (GEOG),Past Climates,"
   Terrestrial and marine proxy records of past climate variability, including tree rings, coral, and sediments; past climate change events such as the Little Ice Age and Medieval Warm Period; greenhouse gases and global temperature; insight into the nature of climate change and challenges humankind faces in the next few centuries. Prerequisites: ATMO 201, or GEOG 203, or GEOL 101, or GEOL 104, or OCNG 251; junior or senior classification. Cross Listing: GEOS 442/GEOG 442.
",UG,Lecture,False,2016-2017,,,,[' greenhouse']
GEOG 476,GEOG - Geography (GEOG),GIS Practicum,"
   Introduction to current topics in Geographic Information Science including ethical and legal issues surrounding spatial technologies, proper GIS management practices and professional certification; development of professional research, technical and communication skills through participation in a coordinated internship or independent research project. Meets writing-intensive course requirements for environmental geosciences, environmental studies and geography majors. Prerequisites: Senior classification and enrollment in Geographic Information Science and Technology or approval of instructor.
",UG,Other,False,2016-2017,,,,['management practice']
GEOG 477,GEOG - Geography (GEOG),Terrain Analysis and Mapping,"
   Geomorphometry for land surface characterization; fundamentals of terrain analysis; theory of land surface dynamics; application of software for digital terrain modeling and analysis. Prerequisites: GEOG 361 and GEOG 390 or equivalents, or approval of instructor; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['land']
GEOG 479,GEOG - Geography (GEOG),Principles of Geocomputation,"
   Geocomputation including geospatial technologies, computational techniques and algorithms utilizing high-performance computing; fundamental geocomputation principles, artificial and computational intelligence. Prerequisites: GEOG 361, GEOG 390, GEOG 475; CSCE 110 or CSCE 111.
",UG,Lecture,True,2016-2017,,,,['geospatial']
GEOL 320,GEOL - Geology (GEOL),Geology for Civil Engineers,"
   Principles of physical and engineering geology; properties of minerals, rocks and soils; active surface and subsurface processes; applications to the siting, design, construction, operation and maintenance of engineered works and the protection of the environment. A three-day field trip is required (a field trip fee is charged at registration). Prerequisite: Sophomore classification.*
",UG,Lecture,True,2016-2017,,,,[' soil']
GEOL 420,GEOL - Geology (GEOL),Environmental Geology,"
    Geologic concepts of the nature of geologic environments and the dynamics of geologic processes needed to characterize and quantify human interactions with specific geologic systems including aquifers, watershed, coastlines and wetlands; specific techniques, including geophysical and geochemical techniques, field mapping, geographical information systems and remote sensing used to monitor human-geosphere interactions. Prerequisites: GEOL 101 or GEOG 203; junior or senior classification or approval of instructor.
",UG,Lecture,True,2016-2017,,,,['land']
GEOL 440,GEOL - Geology (GEOL),Engineering Geology,"
   Fundamentals of soil, rock and fluid mechanics and basic engineering practices as applied to the analysis of the geologic environment for engineering uses. Designed for geoscience majors who have not had engineering courses. Prerequisites: GEOL 312 or approval of instructor; PHYS 218.*
",UG,Lecture,True,2016-2017,,,,[' soil']
GEOS 105,GEOS - Geosciences (GEOS),Introduction to Environmental Geoscience,"
   Key concepts and generalizations of global environmental issues within an Earth systems science framework including climate change, air pollution, land and coastal degradation, water resources and pollution, and habitat loss; environmental ethics, economics and politics; environmental issues in Texas. Enrollment preference will be given to environmental geoscience and environmental studies majors.
",UG,Lecture,False,2016-2017,,,,['land']
GEOS 210,GEOS - Geosciences (GEOS),Climate Change,"
   Examination of the science of climate change; how greenhouse gases warm the planet; scientific evidence that the earth is warming; scientific evidence that humans are causing this warming; what warming we can expect in the future and impacts of that warming.
",UG,Lecture,False,2016-2017,,,,[' greenhouse']
GEOS 405,GEOS - Geosciences (GEOS),Environmental Geosciences,"
   Dynamics and human interactions with near-surface environments including land, atmosphere and oceans through problem-based learning; interdisciplinary environmental problem topic, for example, water quality, urbanization, coastal development, or environmental pollution; geoscience techniques used for monitoring human-geosphere interaction. Prerequisites: GEOS 105; junior or senior classification.
",UG,Lecture,True,2016-2017,,,,['land']
/GEOG 442,GEOS - Geosciences (GEOS),Past Climates,"
   Terrestrial and marine proxy records of past climate variability, including tree rings, coral, and sediments; past climate change events such as the Little Ice Age and Medieval Warm Period; greenhouse gases and global temperature; insight into the nature of climate change and challenges humankind faces in the next few centuries. Prerequisites: ATMO 201, or GEOG 203, or GEOL 101, or GEOL 104, or OCNG 251; junior or senior classification. Cross Listing: GEOG 442/GEOS 442.
",UG,Lecture,False,2016-2017,,,,[' greenhouse']
GERM 410,GERM - German (GERM),Seminar in German Literature and Culture,"
   Survey of major literary and intellectual landmarks of a period in German history (Enlightenment, Romanticism, High Modernism, post-1945); study of literary works in context of social and cultural history, with attention to Germany's particular place in Europe and the world; taught in German. May be taken two times. Prerequisite: 6 hours in GERM at 300-level, or approval of instructor.
",UG,Lecture,False,2016-2017,,,,['land']
HISP 206,HISP - Hispanic Studies (HISP),Food in the Hispanic World,"
   A study of food, food preparation and consumption in the Hispanic world from historical, geographical, artistic, social and psychological perspective. Taught in English.
",UG,Lecture,False,2016-2017,,,,['food']
HISP 363,HISP - Hispanic Studies (HISP),Borderlands: U.S. and Mexico,"
   Multiple images of the U.S./Mexico border, their creation, their evolution, and their conflicting representations in filmic, literary and musical texts. Prerequisites: ENGL 104 and junior or senior classification.
",UG,Lecture,False,2016-2017,,,,['land']
HIST 210,HIST - History (HIST),Russian Civilization,"
   Russian history, culture and society from origins to the present; rise of the Russian Empire; autocracy; modernization without liberalization; reforms, reaction, revolution; development of Communist regime; continuity from Imperial to Soviet period in industrialization, bureaucracy and treatment of peasants, nationalities and intellectual opposition; Gorbachev and a new ""revolution.
",UG,Lecture,False,2016-2017,,,,[' peasant']
HIST 213,HIST - History (HIST),History of England,"
(HIST 2313) History of England.   British, Saxon and Norman origins; national development; struggles between church and state; crown and nobles; nobles and commons; development of parliament.
",UG,Lecture,False,2016-2017,,,,['land']
HIST 214,HIST - History (HIST),History of England,"
(HIST 2314) History of England.   Agrarian and Industrial Revolutions; relations with Ireland; evolution of democracy; struggles with France and Napoleon; social legislation in the 20th century; growth of Empire until World War II.
",UG,Lecture,False,2016-2017,,,,"[' agrarian ', 'land']"
HIST 302,HIST - History (HIST),Women and War in the African Diaspora,"
   Case studies of women and war in the African diaspora in a wide historical and comparative context; social, economic, and cultural influence of war on women’s lives; women as victims, combatants, and refugees; historical construction of race, ethnic and gender identity during times of conflict. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2016-2017,,,,[' african diaspora ']
