Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Animal Science (ANSI),ANSI 5573,Techniques in Animal Molecular Biology,"Principles of major basic animal molecular biology techniques in gene cloning and expression. Hands-on experience with basic molecular biology techniques, including DNA cloning and quantitative measurement of mRNA and protein expression in eukaryotic cells.

",Graduate,TRUE,2019-2020,"[' animal', ' protein']"
Animal Science (ANSI),ANSI 5613,Advanced Beef Production,"Beef cattle breeding, nutrition, reproduction, health and disease prevention, life cycle management of the calf crop, as well as marketing alternatives for the producer. Farm and Ranch acquisition, management, including the stocker and/or feedlot phase.",Graduate,FALSE,2019-2020,"[' beef', 'breed', ' calf', ' cattle', 'crop', 'farm', ' nutri', ' ranch', ' stocker']"
Animal Science (ANSI),ANSI 5733,Advanced Ruminant Nutrition,"Factors influencing nutrient requirements of ruminants for maintenance, growth, reproduction and lactation, and their implications with regard to husbandry practices and nutritional management of livestock. Application of current concepts of ruminant livestock nutrition; use of microcomputer programs in diet evaluation and formulation, beef gain simulation and problem solving.

",Graduate,TRUE,2019-2020,"[' beef', ' diet', ' husbandry ', ' lactat', ' livestock ', ' nutri', ' rumina']"
Animal Science (ANSI),ANSI 5743,Rumenology,"Physiology of development of the ruminant digestive tract; the nature of, and factors controlling digestion and absorption from the tract to include the relative nature and roles of the rumen bacteria and protozoa. Same course as ANSI 5743.",Graduate,FALSE,2019-2020,"['digestion', ' rumen', ' rumina']"
Animal Science (ANSI),ANSI 5753,Animal Nutrition Techniques and Laboratory Methods,"Collection, handling, and processing of biological materials. Record keeping, pipetting, preparation of reagents, and conducting routine nutritional analysis. Theory of operation of major laboratory equipment. Application of current techniques to problem solving in animal nutrition research.

",Graduate,TRUE,2019-2020,"[' animal', ' nutri']"
Animal Science (ANSI),ANSI 5763,Advanced Nonruminant Nutrition,"An in-depth study of the digestion, absorption, and metabolism of nutrients in nonruminant domesticated farm animals. Unique metabolic characteristics of nonruminant species contrasted with ruminant animals. Fundamentals of energetics as related to animal performance. Same course as ANSI 5762.",Graduate,FALSE,2019-2020,"[' animal', 'digestion', ' domesticat', 'farm', ' metaboli', ' nonruminant', ' nutri', ' rumina']"
Animal Science (ANSI),ANSI 5773,Protein Nutrition,"Nutritional, biochemical and clinical aspects of protein metabolism as it relates to nutritional status. Same course as ANSI 5772.",Graduate,FALSE,2019-2020,"[' metaboli', ' nutri', ' protein']"
Animal Science (ANSI),ANSI 5783,Vitamin and Mineral Nutrition,"Development of the concept of dietary essential minerals and vitamins. Individual minerals and vitamins discussed for animal species from the standpoint of chemical form, availability, requirements, biochemical systems, deficiencies and excesses and estimation in foods and feed. Same course as ANSI 5782.",Graduate,FALSE,2019-2020,"[' animal', ' diet', 'food', ' nutri', ' vitamin']"
Animal Science (ANSI),ANSI 6010,Special Topics in Animal Breeding,"Advanced topics and new developments in animal breeding and population genetics.

Offered for variable credit, 1-3 credit hours, maximum of 3 credit hours.",Graduate,FALSE,2019-2020,"[' animal', 'breed']"
Animal Science (ANSI),ANSI 6110,Seminar,"A critical analysis of the objectives and methods of research in the area of animal science. Review of the literature, written and oral reports and discussion on select topics. Same course as ANSI 5110.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,[' animal']
Anthropology (ANTH),ANTH 4123,Archaeology of North America (S),"Factors influencing the initial peopling of North America, the spread and diversification of hunting and gathering economies, the rise of agricultural systems and emergence of extensive and complex political units.
",Undergraduate,FALSE,2019-2020,"['agri', ' hunt']"
Anthropology (ANTH),ANTH 4443,Prehistory of Oklahoma (S),"Surveys social and cultural development of Native peoples of Oklahoma from Paleoindian hunting adaptations to villagers encountered by early Europeans. Using archaeological investigations examines diversity of social and cultural adaptations to various environments of Oklahoma, including development of complex societies.
",Undergraduate,FALSE,2019-2020,[' hunt']
Architecture (ARCH),ARCH 3433,"Architectural Science II: Acoustics, Lighting, and Service Systems","A survey of scientific and design fundamentals of architectural acoustics, lighting, electrical, and signal, conveying, and plumbing systems for buildings. May not be used for degree credit with ARCH 4433.",Undergraduate,TRUE,2019-2020,[' plum']
Architecture (ARCH),ARCH 4131,Architectural Science Lab,"Laboratory experiments for building systems.  Systems may include heating, cooling, electrical, lighting, acoustics and plumbing.

",Undergraduate,TRUE,2019-2020,[' plum']
Architecture (ARCH),ARCH 4433,"Architectural Science II: Acoustics, Lighting, and Service Systems for Architectural Engineers","Engineering fundamentals of architectural acoustics, lighting, electrical, and signal, conveying, and plumbing systems for buildings. May not be used for degree credit with ARCH 3433.",Undergraduate,TRUE,2019-2020,[' plum']
Art (ART),ART 2233,Watercolor I,"The development of technical skills stressing color, form, and content. Assignments cover paper preparation and support, brush handling, pigment characteristics and mixing, and all basic dry surface and wet surface painting techniques. Course previously offered as ART 3133.",Undergraduate,TRUE,2019-2020,[' pig']
Art (ART),ART 3633,History of Baroque Art (H),"Art in 17th century Europe. Architecture, sculpture and painting of the Catholic Reformation (e.g. Caravaggio and Bernini in Italy, Velasquez in Spain, Rubens in Flanders), concluding with painting in non-sectarian, Protestant Netherlands (Rembrandt and Vermeer).",Undergraduate,FALSE,2019-2020,['land']
Art (ART),ART 3673,History of Northern Renaissance Art,"Art in Northern Europe, c. 1200-1550. Emphasis on panel painting in the Netherlands (e.g. Van Eyck, Bosch), and book illustration in Germany (Durer).",Undergraduate,FALSE,2019-2020,['land']
Art (ART),ART 4673,History of Japanese Art,"Critical social, religious, and historical issues in the arts of Japan. Painting, sculpture, architecture, landscape architecture, prints, and decorative arts. No credit for students with credit in ART 5673.",Undergraduate,FALSE,2019-2020,['land']
Art (ART),ART 4763,Native American Art and Material Culture,"Survey of the history and material production of the Native American tribes living within the boundaries of the continental United States and Canada. Focus on basic concepts and primary issues related to tribes of the major geographical areas: the woodland areas, which includes the Northeast and Great Lakes area, the Southeast, the Great Plains, the Southwest, the Plateau and West Coast, and the Northwest Coast. No credit for students with credit in ART 5763.",Undergraduate,FALSE,2019-2020,['land']
Art (ART),ART 5673,History of Japanese Art,"Critical social, religious, and historical issues in the arts of Japan. Painting, sculpture, architecture, landscape architecture, prints, and decorative arts. No credit for students with credit in ART 4673.",Graduate,FALSE,2019-2020,['land']
Art (ART),ART 5763,Native American Art and Material Culture,"Survey of the history and material production of the Native American tribes living within the boundaries of the continental United States and Canada. Focus on basic concepts and primary issues related to tribes of the major geographical areas: the woodland areas, which includes the Northeast and Great Lakes area, the Southwest, the Great Plains, the Southwest, the Plateau and West Coast, and the Northwest Coast. No credit for students with credit in ART 4763.",Graduate,FALSE,2019-2020,['land']
Aviation and Space Education (AVED),AVED 3623,Airport Network Security,"Comprehensive evaluation of the airport network landscape to include evaluation and mitigation of potential threats to the overall airport environment.

",Undergraduate,FALSE,2019-2020,['land']
Aviation and Space Education (AVED),AVED 4343,Geospatial Technologies for Aerospace Managers,"Using geographic information systems (GIS) and other geospatial technologies to effectively manage airports, including project management, maintenance, safety and security, noise and obstruction management, and environmental management.

","Graduate, Undergraduate",FALSE,2019-2020,['geospatial']
Aviation and Space Education (AVED),AVED 5413,Landside Security Technologies,"Technologies available for protecting the landside of the airport. Access control systems, blast protection and mitigation planning, perimeter security technologies and biometric technologies.

",Graduate,FALSE,2019-2020,['land']
Aviation and Space Education (AVED),AVED 5813,Earth Observation Systems,"A study of systems orbiting earth that collect data on the land and atmosphere.



",Graduate,FALSE,2019-2020,['land']
Biochemistry (BIOC),BIOC 2344,Chemistry and Applications of Biomolecules,"A descriptive survey of organic functional groups and biomolecules. Mode of formation and function of these molecules in microorganisms, plants and animals as they relate to biotechnology, environmental sciences and health related issues. A terminal course for students in applied biological science education. Not recommended for pre-professional students or students planning graduate study in biological sciences.



",Undergraduate,FALSE,2019-2020,[' animal']
Biochemistry (BIOC),BIOC 3653,Survey of Biochemistry,"An introduction to the chemistry of living systems. Chemical properties of the constituents of living organisms. Modes of formation, reactions and function of these compounds in microorganisms, plants and animals. Intended for non-majors.



",Undergraduate,FALSE,2019-2020,[' animal']
Biochemistry (BIOC),BIOC 3713,Biochemistry I,"Biochemistry of nucleic acids, proteins, amino acids, carbohydrates, and lipids with an emphasis on the kinetics, thermodynamics, catalytic and regulatory strategies of biochemical reactions and bioenergetics. Designed for biochemistry majors.



",Undergraduate,FALSE,2019-2020,"[' amino acid', 'bioenergetic', ' carbohydrate', ' lipid', ' protein']"
Biochemistry (BIOC),BIOC 3723,Biochemistry and Molecular Biology Laboratory,"Integrated lecture-laboratory course on fundamental theories and techniques in biochemical, forensic, and clinical research. Hands-on experience in mass spectrometry, DNA analysis, metabolic assays, kinetic assays, and protein purification. Previously offered as BIOC 3720.",Undergraduate,TRUE,2019-2020,"[' metaboli', ' protein']"
Biochemistry (BIOC),BIOC 3813,Biochemistry II,"Continuation of Biochemistry I with focus on metabolic pathways, cycles, and control mechanisms. This course will cover bioenergetics and metabolism of carbohydrates, lipids, amino acids and nucleotides. Designed for biochemistry majors.



",Undergraduate,FALSE,2019-2020,"[' amino acid', 'bioenergetic', ' carbohydrate', ' lipid', ' metaboli']"
Biochemistry (BIOC),BIOC 4113,Molecular Biology,"Applications of biochemistry, molecular biology and genetic engineering with emphasis on protein structure and function, regulation of cell function, metabolism and disease processes.



","Graduate, Undergraduate",FALSE,2019-2020,"[' metaboli', ' protein']"
Biochemistry (BIOC),BIOC 4523,Biochemistry of the Cell,"The biochemistry of fundamental processes in normal and disease states of eukaryotic cells. Primary literature based experimental approaches to the mechanisms of intracellular protein trafficking, cytoskeleton, cell adhesion, mitosis, cell cycle, cytokinesis, and apoptosis.



","Graduate, Undergraduate",FALSE,2019-2020,[' protein']
Biochemistry (BIOC),BIOC 5553,Agricultural Biochemistry,"Organism function at the biochemical level and how this relates to the more complex biological systems of plants and animals.



",Graduate,FALSE,2019-2020,"['agri', ' animal']"
Biochemistry (BIOC),BIOC 5853,Metabolism,"Reaction sequences and cycles in the enzymatic transformations of fats, proteins and carbohydrates; energy transfer, biosynthesis and integration in the metabolic pathways.



",Graduate,FALSE,2019-2020,"[' carbohydrate', ' metaboli', ' protein']"
Biochemistry (BIOC),BIOC 6723,Signal Transduction,"Classical signal transduction mechanisms including MAP kinase signaling cascades, Protein kinase A, Protein kinase C pathways, JAK/STAT pathways, calcium signaling, the cell cycle, programmed cell death, and cell signaling in cancer. Strong focus on the primary literature and experimental strategies used in modern cell biology.",Graduate,FALSE,2019-2020,[' protein']
Biochemistry (BIOC),BIOC 6733,Functional Genomics,"Principles and techniques of genomics technologies and their applications in basic science and applied animal and plant research. Genome sequencing, variation detection, transcriptomics, proteomics, metabolomics, metagenomics, systems biology, forward and reverse genetics.



",Graduate,FALSE,2019-2020,[' animal']
Biochemistry (BIOC),BIOC 6753,Epigenetics,"Principles underlying heritable changes in gene expression caused by mechanisms other than changes in the DNA sequence. The roles of chromatin structure, DNA and histone modification, and small RNAs in plant and animal development and disease. Applications of epigenetic-based therapeutics and the use of RNA interference in plants and animals.



",Graduate,FALSE,2019-2020,[' animal']
Biochemistry (BIOC),BIOC 6763,Nucleic Acids and Protein Synthesis,"Structure and biological function of nucleic acid containing structures with emphasis on recombinant DNA methodologies, information content, nucleic acid-protein interaction, regulation and rearrangement.



",Graduate,FALSE,2019-2020,[' protein']
Biochemistry (BIOC),BIOC 6773,Protein Structure and Enzyme Function,"Theory of and methods for studying the physical and chemical basis of protein structure and function; and the enzyme catalysis, including kinetics, chemical modification and model studies. Examples from current literature.



",Graduate,FALSE,2019-2020,[' protein']
Biochemistry (BIOC),BIOC 6783,Biomembranes and Bioenergetics,"Components, organization and biosynthesis of plasma, mitochondrial and photosynthetic membranes, emphasizing structure-function relationships. Mechanism of metabolites, protons and electrons transport. Energy conservation in bioenergetic apparatus such as mitochondria, chloroplasts or bacterial chromatophores.



",Graduate,FALSE,2019-2020,"['bioenergetic', ' metaboli']"
Biochemistry (BIOC),BIOC 6793,Plant Biochemistry,"Biochemistry of processes and structures of special importance to plants, such as photosynthesis, cell walls, nitrogen fixation, secondary metabolites and storage proteins. Previously offered as BIOC 6792.",Graduate,FALSE,2019-2020,"[' metaboli', ' nitrogen', ' protein']"
Biology (BIOL),BIOL 1604,Animal Biology,"Morphology, physiology, ecology, life histories and importance of representatives of major groups to humans. Evolution of systems and mechanisms which have allowed animals to survive and adapt to diverse habitats. Previously offered as ZOOL 1604.",Undergraduate,TRUE,2019-2020,[' animal']
Biology (BIOL),BIOL 3023,General Genetics,"Inheritance in plants, animals, and microorganisms; molecular and classical aspects. Previously offered as BIOL 3024 and BISC 3024.",Undergraduate,FALSE,2019-2020,[' animal']
Biology (BIOL),BIOL 3153,Animal Behavior,"Survey of theory and application in basic and applied animal behavior. Interdisciplinary analysis of animal behavior in the field, captive settings and laboratories. Previously offered as ZOOL 3153.",Undergraduate,FALSE,2019-2020,[' animal']
Biology (BIOL),BIOL 3163,Environmental Biology,"Overview of how organisms are influenced by the environment in which they live and how anthropogenic activities impact their environment. Topics include impacts of disturbing energy and material cycles, toxicological disease, and infectious disease. Previously offered as ZOOL 3163.",Undergraduate,FALSE,2019-2020,[' anthropogenic ']
Biology (BIOL),BIOL 3204,Physiology,Anatomy and function of the human body. Human and domestic animal physiology considered in laboratories. Previously offered as ZOOL 3204.,Undergraduate,TRUE,2019-2020,[' animal']
Biology (BIOL),BIOL 4134,Embryology,"Biochemical basis of development with emphasis on gene regulation. Comparative development of sea urchin, frog, chick and pig. Experiments using frog and mouse, including the molecular level. Previously offered as ZOOL 4134. May not be used for degree credit with BIOL 5134.","Graduate, Undergraduate",TRUE,2019-2020,[' pig']
Biology (BIOL),BIOL 4215,Mammalian Physiology,"Descriptive and functional analysis of the mammalian nervous, cardiovascular, musculoskeletal, respiratory, renal, endocrine, and digestive organ systems. For majors in human and animal sciences, particularly pre-medical, pre-dental, and pre-veterinary tracks. May not be used for degree credit with BIOL 5215. Previously offered as ZOOL 4215.",Undergraduate,FALSE,2019-2020,[' animal']
Biology (BIOL),BIOL 4273,Environmental Physiology,"The study of animal adaptation and responses to natural environments. Topics include marine, shoreline, freshwater, and terrestrial habitats as well as anthropogenic problems specific to these habitats. No credit for students with credit in BIOL 5273. Previously offered as ZOOL 4273.",Undergraduate,FALSE,2019-2020,"[' animal', ' anthropogenic ']"
Biology (BIOL),BIOL 4303,Organismal Ecotoxicology,"Comparative study of the major groups of environmental contaminants (e.g. heavy metals, PCB's, insecticides) and an introduction to the basic theories, principles and techniques associated with the study of contaminant fate and effects on organisms. No credit for students with credit in BIOL 5303. Same course as BIOL 5303 and ITOX 5303. Previously offered as ZOOL 4303.",Undergraduate,FALSE,2019-2020,"[' contaminant', ' insecticid']"
Biology (BIOL),BIOL 4413,Biology of Fishes,"Ecology and evolution of fishes with particular emphasis on physiology, morphology, behavior, and taxonomy; laboratory emphasis on Oklahoma species. Weekend field trips required. Previously offered as ZOOL 4413.","Graduate, Undergraduate",TRUE,2019-2020,[' fish']
Biology (BIOL),BIOL 4434,Limnology,"This course provides an overview of the physical, chemical, and biological characteristics of inland habitats including lakes, reservoirs, streams, and wetlands. Field trips required. May not be used for degree credit with BIOL 5434. Previously offered as ZOOL 4434.",Undergraduate,TRUE,2019-2020,"['land', ' limnolog']"
Biology (BIOL),BIOL 5123,Behavioral Ecology,"Analysis and description of the behavior of animals in their natural environment, especially in terms of natural selection and adaptation. A synthesis of ethology, population genetics, sociobiology, and evolutionary theory. Largely descriptive and generalized with limited emphasis on mathematical theory. Previously offered as ZOOL 5123.",Graduate,FALSE,2019-2020,[' animal']
Biology (BIOL),BIOL 5215,Mammalian Physiology,"Descriptive and functional analysis of the mammalian nervous, cardiovascular, musculoskeletal, respiratory, renal, endocrine and digestive organ systems. For majors in human and animal sciences, particular pre-medical, pre-dental, and pre-veterinary tracks. Upper-division physiology course required. May not be used for degree credit with BIOL 4215. Previously offered as ZOOL 4215.",Graduate,FALSE,2019-2020,[' animal']
Biology (BIOL),BIOL 5273,Environmental Physiology,"The study of animal adaptation and responses to natural freshwater, and terrestrial habitats as well as anthropogenic problems specific to these habitats. No credit for students with credit in BIOL 4273. Previously offered as ZOOL 5273.",Graduate,FALSE,2019-2020,"[' animal', ' anthropogenic ']"
Biology (BIOL),BIOL 5303,Organismal Ecotoxicology,"Comparative study of the major groups of environmental contaminants (e.g. heavy metals, PCB's, insecticides) and an introduction to the basic theories, principles and techniques associated with the study of contaminant fate and effects on organisms. No credit for students with credit in BIOL 4303. Same course as ITOX 5303. Previously offered as ZOOL 5303.",Graduate,FALSE,2019-2020,"[' contaminant', ' insecticid']"
Biology (BIOL),BIOL 5343,Population and Community Ecotoxicology,"Examines the exposure of animals to environmental contaminants and resulting effects at the individual through community level. The dynamic nature of exposure to contaminants will be of particular interest in this course. For example, how do the natural history traits of a species either protect it from exposure, or enhance its potential for exposure to contaminants? Topics will range from the historical perspectives to ecotoxicology to study design and risk assessment. Same course as ITOX 5343. Previously offered as ZOOL 5343.",Graduate,FALSE,2019-2020,"[' animal', ' contaminant']"
Biology (BIOL),BIOL 5403,Advanced Wetland Ecology,"Principles and theory of wetland ecology with a focus on wetland processes, function, and services. Topics include wetland geomorphology, biogeochemistry and hydrology of wetlands, wetland functions and services, wetland development, wetland restoration, water issues, wetland policy, philosophy of wetland management, and educating society about wetlands. Same course as NREM 5403. Previously offered as ZOOL 5403.",Graduate,FALSE,2019-2020,['land']
Biology (BIOL),BIOL 5434,Limnology,"This course provides an overview of the physical, chemical, and biological characteristics of inland habitats including lakes, reservoirs, streams, and wetlands. Field trips required. May not be used for degree credit with BIOL 4434.",Graduate,TRUE,2019-2020,"['land', ' limnolog']"
Biology (BIOL),BIOL 5523,Population Ecology,"Theory and principles of predicting and analyzing population abundance and dynamics. Life history theory, foraging theory, habitat selection, population genetics, and species interactions. Previously offered as ZOOL 5523.",Graduate,FALSE,2019-2020,['species interaction']
Biomedical Sciences (BIOM),BIOM 5215,Medical Biochemistry,Broad survey of the chemical classes and metabolic processes that are consistent with the normal functions of biosystems. Functions and interrelationships of these processes in human metabolism to provide a foundation for understanding the chemistry of disease states when discussed in the second-year program.,Graduate,FALSE,2019-2020,"['biosystem', ' metaboli']"
Biomedical Sciences (BIOM),BIOM 5641,Cornerstones of Vertebrate Paleontology,"In-depth discussion of topics in Vertebrate Pathology, emphasizing critical thinking skills. Based on evaluation of the primary literature, and covering diverse methodological approaches to interdisciplinary research questions.

",Graduate,FALSE,2019-2020,['corn']
Biomedical Sciences (BIOM),BIOM 6175,Molcular And Cellular Biology,"Cell biology, including cellular macromolecules, energetics, metabolism, regulation, organization and function of cellular organelles, flow of genetic information, and the regulation of selected cell activities.



",Graduate,FALSE,2019-2020,[' metaboli']
Biomedical Sciences (BIOM),BIOM 6214,Advanced Topics in Medical Biochemistry,"Chemical basis of protein, carbohydrate, lipid, nucleic acid, steroid and porphyrin structure, function, and metabolism as related to health and disease.



Offered for variable credit, 3-15 credit hours, maximum of 15 credit hours.",Graduate,FALSE,2019-2020,"[' carbohydrate', ' lipid', ' metaboli', ' protein']"
Biomedical Sciences (BIOM),BIOM 6243,Human Nutrition,"Role of vitamins and minerals in maintaining normal metabolism, role of nutrients in providing athletic and immune system performance, and pathophysiology associated with nutrient deficits and nutrient excesses. Role of drugs in inducing cancer and increasing nutrient requirements.



",Graduate,TRUE,2019-2020,"[' metaboli', ' nutri', ' vitamin']"
Biomedical Sciences (BIOM),BIOM 6263,Techniques in Molecular Biology,"Transformation of bacterial and mammalian cells; purification of nucleic acids; cloning of DNA fragments; labeling of nucleic acids with non-radioactive probes; analysis of DNA and RNA by electrophoresis and hybridization; DNA sequencing; design, synthesis and use of oligonucleotides; site-directed mutagenesis; detection of rare nucleic acids by the polymerase chain reaction and expression of proteins.



",Graduate,TRUE,2019-2020,[' protein']
Biomedical Sciences (BIOM),BIOM 6343,Microbial Physiology,"The chemical composition, growth and metabolism of prokaryotic organisms including regulation and control of metabolic pathways with emphasis on metabolism unique to microbes.



",Graduate,TRUE,2019-2020,[' metaboli']
Biomedical Sciences (BIOM),BIOM 6762,Foundations in Medical Biochemistry,"Biochemistry in human health and disease, including protein structure and function, bioenergenetics, metabolism, nutrition, and membrane structure and function.

",Graduate,FALSE,2019-2020,"[' metaboli', ' nutri', ' protein']"
Biomedical Sciences (BIOM),BIOM 6793,Foundations in Medical Microbiology,"Infectious agents, including viruses, bacteria, fungi and parasites, their structure, genetics and mechanisms of pathogenesis in human disease. Previously offered as BIOM 6791.",Graduate,FALSE,2019-2020,['fungi']
Biomedical Sciences (BIOM),BIOM 6820,Structure and Function of the Human Gastrointestinal/Hepatic System,"Provides integrated biomedical study of the human gastrointestinal and hepatic systems.



Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,['gastro']
Biomedical Sciences (BIOM),BIOM 6933,Cornerstones of Graduate Biomedical Sciences,"Discussion of topics in the foundational courses of biomedical sciences, emphasizing critical thinking skills and diverse methodological approaches in understanding interdisciplinary research questions and in evaluations of the primary literature. Intended to be taken concurrently with foundation courses.

",Graduate,FALSE,2019-2020,['corn']
Biosystems & Ag Engineering (BAE),BAE 1012,Introduction to Biosystems Engineering,"Introduction to the Biosystems Engineering discipline; use of computers in solving engineering problems; and the application of computer software in engineering analysis and reporting.



",Undergraduate,TRUE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 1022,Experimental Methods in Biosystems Engineering,"An introduction to the basics of instrumentation, measurement techniques, and data analysis, with an emphasis on written communication skills. Lecture and laboratory exercises that address measurement principles, including accuracy, precision and error analysis.



",Undergraduate,TRUE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 2013,Modeling in Biosystems Engineering,"Introduction and modeling of various applications in biosystems and agricultural engineering. Case studies that emphasize the interface between engineering and biology in areas such as plant systems, industrial biological processes, sensor and control systems development, intelligent machine design, environmental remediation, water treatment systems and food processing. Use of a fourth generation programming language for solving engineering problems. Course previously offered as BAE 2012.",Undergraduate,FALSE,2019-2020,"['agri', 'biosystem', 'food']"
Biosystems & Ag Engineering (BAE),BAE 3023,Instruments and Controls,"Design of control and instrumentation systems, including sensor and actuator principles, interface electronics, system identification, modeling, and performance specification. Applications in biological and agricultural systems. Design project required.



",Undergraduate,TRUE,2019-2020,['agri']
Biosystems & Ag Engineering (BAE),BAE 3113,Biological Applications in Engineering,"Introduction to engineering applications of biological processes. Technologies covered include fermentation systems, enzyme kinetics, wastewater treatment and bioremediation.



",Undergraduate,FALSE,2019-2020,"['bioremed', ' ferment']"
Biosystems & Ag Engineering (BAE),BAE 3213,Energy and Power in Biosystems Engineering,"Analysis and design of energy generation, transmission, and utilization in the production and processing of biological materials.



",Undergraduate,TRUE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 3223,Principles of Agriculture and Off-Road Machinery,"Principles of design, function, operation, testing and application of agricultural and off-road equipment and systems. Vehicle and implement system dynamics and hitching, and plant and soil interaction with machines. Machinery evaluation and standardized test procedures emphasizing safe and efficient performance of modern farm and off-road equipment.

",Undergraduate,TRUE,2019-2020,"['agri', 'farm', ' soil']"
Biosystems & Ag Engineering (BAE),BAE 3313,Natural Resources Engineering,"Principles and practices of engineering analysis and design applied to hydrology, water quality, erosion and sedimentation, air quality, irrigation and animal waste management. Course previously offered as BAE 3323.",Undergraduate,TRUE,2019-2020,"[' animal', ' irrigat']"
Biosystems & Ag Engineering (BAE),BAE 4001,Professional Practice in Biosystems Engineering,"Preparation for professional practice through case studies about ethics, legal liability, safety, and societal issues. Practical professional communications experience.



",Undergraduate,FALSE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 4213,Precision Agriculture,"Introduction to the concepts of precision agriculture including analysis of spatial variability, relationships of fertility and crop response, geographical information systems, variable rate technology, optical sensing, global positioning systems, and yield monitoring. Case studies included for detailed analyses. Same course as SOIL 4213.","Graduate, Undergraduate",FALSE,2019-2020,"['agri', 'crop', ' soil']"
Biosystems & Ag Engineering (BAE),BAE 4283,Bioprocess Engineering,"Application of fundamental engineering principles to biochemical and biological processes. Introduction to cellular processes, fermentation technology, biological mass transfer and kinetics, bioreactor design and scale-up and downstream processing. Same course as CHE 4283.","Graduate, Undergraduate",FALSE,2019-2020,[' ferment']
Biosystems & Ag Engineering (BAE),BAE 4314,Design Hydrology,"Basic principles of surface and groundwater hydrology and their application in engineering problems. The hydrologic cycle, weather and hydrology, precipitation, evaporation, transpiration, subsurface waters, stream flow hydrographs, hydrologic and hydraulic stream routing, probability of hydrologic events and application of hydrologic models. Laboratory component will emphasize the application of hydrologic and hydraulic models and the quantification of hydrologic and hydraulic parameters. Course previously offered as BAE 4313.","Graduate, Undergraduate",TRUE,2019-2020,"[' groundwater ', 'hydrologic cycle']"
Biosystems & Ag Engineering (BAE),BAE 4324,Water Quality Engineering,"Point and nonpoint source pollution processes, including transport mechanisms, and contaminant fate, control and remediation. Other topics include principles of ecological engineering, water body assessment and integrated watershed management.

","Graduate, Undergraduate",TRUE,2019-2020,[' contaminant']
Biosystems & Ag Engineering (BAE),BAE 4400,Special Problems,"Investigations in specialized areas of biosystems engineering.



Offered for variable credit, 1-4 credit hours, maximum of 8 credit hours.",Undergraduate,FALSE,2019-2020,['biosystem']
Biosystems & Ag Engineering (BAE),BAE 4413,Food Engineering,"Analysis and design of various unit operations in food processing including thermal processing, drying, evaporation, freezing, processing non-Newtonian fluids and quality changes during processing. Course previously offered as BAE 4423.","Graduate, Undergraduate",FALSE,2019-2020,"['food', 'freez']"
Biosystems & Ag Engineering (BAE),BAE 5030,Problems in Biosystems Engineering and Agricultural Technology,"Problems associated with biosystems engineering and agricultural technology.



Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2019-2020,"['agri', 'biosystem']"
Biosystems & Ag Engineering (BAE),BAE 5243,Biological Conversion for Advanced Biofuels,"Fundamental principles and applications of converting biomass to advanced biofuels. Focus will be on biological processes, fermentor design and operation, product recovery and emerging fuels.



",Graduate,FALSE,2019-2020,"['biofuel', ' ferment']"
Biosystems & Ag Engineering (BAE),BAE 5283,Advanced Bioprocess Engineering,"Application of fundamental engineering principles to biochemical and biological processes. Introduction to cellular processes, fermentation technology, biological mass transfer and kinetics, bioreactor design and scale-up and downstream processing. Same course as CHE 5283.",Graduate,FALSE,2019-2020,[' ferment']
Biosystems & Ag Engineering (BAE),BAE 5313,Watershed Modeling,"A computer modeling course with an emphasis on chemical and physical processes governing nonpoint source pollution (nitrogen, phosphorus, sediment) at the basin scale. The laboratory use of state-of-the-art models applied to a variety of agricultural systems. ""Hands on"" use of comprehensive hydrologic water quality models that utilize spatial data in a geographic information system. Models and parameter uncertainty, digital data sources, parameter estimation and model testing, calibration and validation. For students with advanced personal computer skills.



",Graduate,TRUE,2019-2020,"['agri', 'basin scale']"
Biosystems & Ag Engineering (BAE),BAE 5324,Modeling and Design in Storm Water and Sediment Control,"Analysis and design of storm water, sediment and water quality systems with a focus on application to urban areas and developments in the urban-rural fringe. Advanced concepts in hydrologic modeling with kinematics, diffusion and dynamic modeling of flow; soil erosion, sediment transport and sediment control; storm water quality modeling and the impact of best management practices. In laboratories, use of hydrologic, sediment, and water quality models in analysis and design for real-world problems.



",Graduate,TRUE,2019-2020,"['management practice', ' soil']"
Biosystems & Ag Engineering (BAE),BAE 5343,Environmental Contaminant Transport,"Conceptual and mathematical models for the transport of contaminants in natural systems with an emphasis on agricultural pollutants. Basic transport processes relevant to the three environmental media - air, water, and soil. Common features underlying pollutant transport.



",Graduate,FALSE,2019-2020,"['agri', ' contaminant', ' soil']"
