Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
AGEC 2213,Agricultural Economics (AGEC), Marketing Agricultural Products,"
Study of movement of food and fiber products from the production area to the final consumer. Focus on intermediaries, including transportation agents. Efficiency of performing marketing activities under conditions for perfect and imperfect markets will be emphasized.Prerequisites: AGEC 1233 or ECON 2113.
",,,,2017-2018,,,,"['agri', ' fiber', 'food']"
AGEC 2223,Agricultural Economics (AGEC), Food Distribution Systems,"
Study of the nature and functions of the various components of wholesale and retail food distribution. Facility locations, transportation, warehousing, quality control, inventory control, pricing, and other related topics.Prerequisites: AGEC 1233 or ECON 2123.
",,,,2017-2018,,,,['food']
AGEC 3203,Agricultural Economics (AGEC), World Food Seminar,"
Orientation and introduction to domestic and international food distribution employment opportunities. (Emphasis on providing a broader knowledge of careers in transportation, logistics, and distribution.)Prerequisites: AGEC 2213 and AGEC 2223 and ECON 2113.
",,,,2017-2018,,,,['food']
AGEC 3213,Agricultural Economics (AGEC), Agricultural Policy,"
Study of the development of agricultural and food policies and evaluation of policies impact on producers and consumers in domestic and international markets.Prerequisites: AGEC 2213.
",,,,2017-2018,,,,"['agri', 'food']"
AGEC 3223,Agricultural Economics (AGEC), Agricultural Financial Analysis,"
Introduction to principles and concepts of finance. Financial statement analysis, risk and returns, time value of money, valuation concepts, capital budgeting, investments, and cost of capital.Prerequisites: AGEC 2113 or ECON 2213.
",,,,2017-2018,,,,['agri']
AGEC 3233,Agricultural Economics (AGEC), Principles of Transportation,"
A course designed to develop basic competencies in the acquisition of transportation services for food and agricultural products. Emphasis will include: selection of transportation services, legal modes of transportation, shipping documents, rates, claims, and the changing environments for the transportation industry.Prerequisites: AGEC 2213 or ECON 2113.
",,,,2017-2018,,,,"['agri', 'food']"
AGEC 3253,Agricultural Economics (AGEC), International Trade and Logistics,"
Development of basic competencies in international marketing of food and agricultural products. Focus will be on major markets, international competition, and the impacts of US trade policies and exchange rates on trade.Prerequisites: AGEC 2213 and AGEC 3213 (may be taken concurrently) and ECON 2123.
",,,,2017-2018,,,,"['agri', 'food']"
AGEC 4223,Agricultural Economics (AGEC), Principles of Agri-business Management,"
Economic and business principles applied to the organization and operation of farms and ranches, and other agri-business industries.Prerequisites: AGEC 1233.
",,,,2017-2018,,,,"['agri', 'farm', ' ranch']"
AGEC 4233,Agricultural Economics (AGEC), Land and Resource Economics,"
Analysis of the economic, political, and institutional forces involved in the control and use of land and natural resources. Emphasis on land as a factor of production in agriculture.Prerequisites: AGEC 1233.
",,,,2017-2018,,,,"['agri', 'land']"
AGEC 4253,Agricultural Economics (AGEC), Agricultural Prices,"
Theories and principles fundamental to the pricing of agriculture commodities. Special emphasis will be placed on marketing conditions affecting price levels. Price and income parity, seasonal and cyclical price variations and futures trading. Prerequisites: senior classification or approval of instructor.
",,,,2017-2018,,,,['agri']
AGEC 5213,Agricultural Economics (AGEC), Land Use and Resource Management,"
Nature and the economic dimensions of private and public control of land. Use of natural resources, including land, stock and flow resource concepts; time and space as they affect resource utilization and benefits. Laboratory studies of field problems in resource management and use.
",,,,2017-2018,,,,['land']
AGEC 5223,Agricultural Economics (AGEC), Farm and Ranch Management,"
Theories of the farm and of the management process; farm-ranch business growth and productive efficiency; control and coordination of the agents of production; risk and uncertainty; agribusiness organization and management; and managerial decision making. Laboratory application of principles of economics to the production process, including analysis of costs, returns, and productivity.
",,,,2017-2018,,,,"['agri', 'farm', ' ranch']"
AGEC 5233,Agricultural Economics (AGEC), Price Analysis,"
Theories and principles fundamental to pricing of agricultural factors of production and agricultural commodities; relationship of prices within the agricultural sector and between the agricultural sector and the general economy; kinds of price changes; forecasting factors and conditions that affect agricultural prices; futures trading; parity prices; and administrated prices.
",,,,2017-2018,,,,['agri']
AGEC 5243,Agricultural Economics (AGEC), Agricultural Policy,"
Theoretical foundations of policy making and economic value of public policies and programs to the agricultural industry; interrelation between the social, political, and economic systems and agriculture; policy development and implementation; and the value of agricultural policy to society.
",,,,2017-2018,,,,['agri']
AGEC 5253,Agricultural Economics (AGEC), Marketing of Farm Products,"
Theoretical foundations of the modem economic system, including values added in the marketing system; dimensions and functions of marketing in relation of time, space, and value; market integration and product quality control; and market contracting orders and power.
",,,,2017-2018,,,,['farm']
AGEC 5263,Agricultural Economics (AGEC), Research Methods in the Agricultural Sciences,"
Philosophy, methods, and techniques of scientific inquiry in the discovery of new knowledge in the food, agricultural and human sciences; role of theory and assumptions. Defining and evaluating research project proposals, including objectives and procedures, analytical methods and techniques, evaluation of research studies, and development of thesis prospectus or equivalent.
",,,,2017-2018,,,,"['agri', 'food']"
AGEC 5283,Agricultural Economics (AGEC), Agricultural Finance,"
Theories, principles, and problems of financing agricultural business, including farms and ranches; costs and returns from the use of capital; forms and roles of capital in agriculture; capital productivity and earning, and capital market organization, and institutions; supply and demand of financial resources; and role of debt in farm growth.
",,,,2017-2018,,,,"['agri', 'farm', ' productivity ', ' ranch']"
AGEG 1413,Agricultural Engineering (AGEG), Fundamentals of Agricultural Engineering,"
Introduction to the major areas of agricultural engineering with emphasis on farm workshop methods, tool identification, care and use. Course includes home woodwork.
",,,,2017-2018,,,,"['agri', 'farm']"
AGEG 2423,Agricultural Engineering (AGEG), Agricultural Machinery,"
Identification of agricultural machines and equipment; accessories, attachments, and components of agricultural tractors; inspections, adjustments, and maintenance services; and career opportunities.
",,,,2017-2018,,,,"['agri', ' tractor']"
AGEG 4423,Agricultural Engineering (AGEG), Farm Drainage,"
Land drainage: terracing, gully control, irrigation, and land reclamation.
",,,,2017-2018,,,,"['farm', ' irrigat', 'land']"
AGRO 1703,Agronomy (AGRO), Crop Science,"
Botanical characteristics of agronomic and horticultural plants; relationship between crops and civilization in both historical and biological terms; nature of crop plants in relation to structure, physiology, environment, growth and development; crop improvement, cropping systems and practices, crop hazards and prevention.
",,,,2017-2018,,,,"['agro', 'botanic', 'crop', ' horticult']"
AGRO 2603,Agronomy (AGRO), Environmental Soil Science,"
An introduction to soils, its components and its relationship the environment. The importance of soils to man, animals and plants. Import physical properties, role of soil constituents; origin, nature, and classification of parent materials; soil genesis, classification and survey; soil fertility and chemical properties; soils and chemical pollution; soils and the world's food supplements.
",,,,2017-2018,,,,"['agro', ' animal', 'food', ' soil']"
AGRO 2613,Agronomy (AGRO), Natural Resource Conservation Management,"
Ecological approach to basic conservation principles, concepts and techniques underlying the management and uses of natural resources that is both efficient and sustainable.
",,,,2017-2018,,,,['agro']
AGRO 2623,Agronomy (AGRO), Green House Mgmt,"
The shape and source of soil features materials and processes involved in or produced after the formation of soil with emphasis on variations world-wide and the principles of soil classification, mapping, and interpretation. Additional topics include: soil taxonomy; land capability classification; soil survey and its utilization; and soil interpretations for non-farm uses.
",,,,2017-2018,,,,"['agro', 'farm', 'land', ' soil']"
AGRO 2633,Agronomy (AGRO), Forage and Pasture Management,"
Use of forage in grassland agriculture, identification of forage grasses and legumes, cultural practices including weed control, mechanization of forage harvesting and storage; types of pastures, different systems of grazing management and utilization of forages by farm animals.
",,,,2017-2018,,,,"['agri', 'agro', ' animal', 'farm', 'forage', 'harvest', 'land', ' legum', ' pasture', ' weed']"
AGRO 2733,Agronomy (AGRO), Principles of Crop Production,"
Crop characteristics and classifications, growth patterns, soil and climate requirements (Physiology), pest control, storage, distribution, and application of these principles to the management and production of field and vegetable crops for improved food, fiber, and forages.
",,,,2017-2018,,,,"['agro', 'crop', ' fiber', 'food', 'forage', ' pest', ' soil', ' vegetable']"
AGRO 3623,Agronomy (AGRO), Soil Morphology and Classification,"
The shape and source of soil features materials and processes involved in or produced after the formation of soil with emphasis on variations world-wide and the principles of soil classification, mapping, and interpretation. Additional topics include: soil taxonomy; land capability classification; soil survey and its utilization; and soil interpretations for non-farm uses.Prerequisites: AGRO 1703.
",,,,2017-2018,,,,"['agro', 'farm', 'land', ' soil']"
AGRO 3633,Agronomy (AGRO), Soil Fertility and Fertilizers,"
Chemical, biological and physical processes as they influence soil fertility, manufacture of fertilizers and their reactions with soils and the oil-plant-water system.
",,,,2017-2018,,,,"['agro', ' fertilize', ' soil']"
AGRO 3643,Agronomy (AGRO), Soil and Water Management,"
Sustainable soil productivity and management in agricultural systems involving resource inputs, tillage systems, erosion control, residue management, and water management for a quality environment.
",,,,2017-2018,,,,"['agri', 'agro', ' productivity ', ' soil', ' till']"
AGRO 3713,Agronomy (AGRO), Gen Entomology,"
Insect morphology, life histories, characteristics and habits of beneficial and harmful insects and their impact on agricultural production and the environment; anatomy and physiology growth and metamorphosis, insect orders, ecological aspects and insect behavior, control of harmful insects.
",,,,2017-2018,,,,"['agri', 'agro']"
AGRO 3733,Agronomy (AGRO), Plant Pathology,"
Fundamental principles of plant pathology, including parasites and disease development, identification of major agronomic diseases and their biotic and abiotic causes; proper diagnosis of plant diseases, differentiation between signs and symptoms, isolation of pathogens in pure culture; environmental effects on development of infectious plant diseases; control of plant diseases.
",,,,2017-2018,,,,"['agro', 'plant path']"
AGRO 3993,Agronomy (AGRO), Independent Study,"
Readings, research and/or field work on seleted topics.
",,,,2017-2018,,,,['agro']
AGRO 4613,Agronomy (AGRO), Soil Microbiology,"
Role of soil microorganisms in soil-plant ecosystems. Microbial ecology, microbes in nutrient cycles important to agriculture, pesticide degradation, bacterial fertilizers, composting, waste disposal, plant microbe interactions. Laboratory estimation of soil microbial populations and measurement of important biological processes in soil and current methods.
",,,,2017-2018,,,,"['agri', 'agro', ' compost', ' fertilize', ' nutri', ' pest', ' soil']"
AGRO 4623,Agronomy (AGRO), Environmental Science,"
Physical, chemical, biological and agricultural components of the environment and their interaction and effects on pollution and the maintenance and utilization of varied environmental systems.
",,,,2017-2018,,,,"['agri', 'agro']"
AGRO 4993,Agronomy (AGRO), Independent Study,"
Readings, research and/or field work on selected topics.
",,,,2017-2018,,,,['agro']
AGRO 5613,Agronomy (AGRO), Environmental Microbiology,"
Study of the biological and chemical interactions between microbes and microbial metabolites with the environment (e.g. air, water, and soil) as related to food, agriculture quality and safety, animal and human health, and waste management. Emphasis will be on bioremediation, microbial bioprocesses, microbial by-products, microbial control and aerobiology. Laboratory, field and greenhouse situations will be practiced.
",,,,2017-2018,,,,"['agri', 'agro', ' animal', 'bioremed', 'food', ' greenhouse', ' metaboli', ' soil']"
AGRO 5653,Agronomy (AGRO), Soil Chemistry,"
Study of the theories, principles, and practices of soils from a chemical process perspective. Soils and the application of nutrient cycling, plant nutrition, waste disposal, acid rain, pesticides and heavy metals. Soil, plant, and water interactions and analysis in laboratory settings required.
",,,,2017-2018,,,,"['agro', ' nutri', ' pest', ' soil']"
AGRO 5663,Agronomy (AGRO), Principles of Environmental Science and Management,"
Discussion, study and analysis of the methods of monitoring, assessing, and designing remedies for environmental pollution, including the physical, chemical and biological components utilized in maintaining and improving the capacity of varied environmental characteristics as related to agricultural production.
",,,,2017-2018,,,,"['agri', 'agro']"
AGRO 5723,Agronomy (AGRO), Soil-Plant Relations,"
Discussion, study and analysis of the theories, principles, and practices which combine the production and management of plants for food, feed, and fiber with the determination of soil properties and their conservation and management. Review and analysis of recent literature pertaining to growth response curves, nutrient uptake, movement of nutrients in the soil, measurement of availability of nutrients to plants, and movement of nutrient to natural water systems.
",,,,2017-2018,,,,"['agro', ' fiber', 'food', ' nutri', ' soil']"
AGRO 5733,Agronomy (AGRO), Agricultural Chemicals and Water Quality,"
Study and analysis of practices underlying the economical use of fertilizers, pesticides, and other agricultural chemicals. Emphasis on the relationship of soil properties and plant growth, selectivity and impact on the environment.
",,,,2017-2018,,,,"['agri', 'agro', ' fertilize', ' pest', ' soil']"
AGRO 5743,Agronomy (AGRO), Land Disposal of Wastes,"
Theoretical, regulatory, and practical aspects of disposal of municipal wastes, sewage effluent and sludge, industrial and hazardous wastes by land treatment and filling. Identification and assessment of strategies for clean-up of soil resources contaminated by past waste disposal as well as environmental impact of organic wastes.
",,,,2017-2018,,,,"['agro', 'land', ' soil']"
AGRO 5753,Agronomy (AGRO)," Soils, Ecology, and Land Uses","
Soils and their properties as planned related to landscape ecology and specific land uses will be examined on a global, regional, and local level. An ecosystem approach will be used to examine issues and current problems associated with ecology and land use practices in agricultural systems, rangelands, forests, and wetlands. Also, ethical and philosophical points will be considered based on different soils, ecology, and land use viewpoints.
",,,,2017-2018,,,,"['agri', 'agro', 'land', ' rangeland', ' soil']"
AGRO 5793,Agronomy (AGRO), Problems and Issues in Environmental Science,"
Identification and analysis of current trends and issues in environmental science. Evaluation of pending legislation, federal agency regulations and state and local policy applications. Reports; discussions; projects.
",,,,2017-2018,,,,['agro']
ANSC 1513,Animal Science (ANSC), General Animal Science,"
Introductory course dealing with domestic farm animals common in the United States. Selection, reproduction, nutrition, management and marketing of beef cattle, swine, sheep, goats, and horses.
",,,,2017-2018,,,,"[' animal', ' beef', ' cattle', 'farm', ' goat', ' nutri', ' swine']"
ANSC 2513,Animal Science (ANSC), Animal Production and Marketing,"
Systematic study of methods of breeding, feeding, marketing, sanitation and management of commercial animals (swine, beef and dairy cattle, horses, goats and sheep).
",,,,2017-2018,,,,"[' animal', ' beef', 'breed', ' cattle', ' dairy ', ' goat', ' sanitation ']"
ANSC 2523,Animal Science (ANSC), Poultry Science,"
Knowledge of the history and development of the poultry industry; the anatomy and physiology of the domestic fowl, especially related to reproduction. Inferences of genetic, environmental and behavioral factors on embryonic development; effects of diet, drugs and toxins. Practices involve artificial incubation, breeding and rearing.
",,,,2017-2018,,,,"['breed', ' diet', ' fowl', ' incubat', ' poultry ']"
ANSC 2533,Animal Science (ANSC), Dairy Science,"
Branches of the dairy industry, introduction to dairy types and breeds, the major factors in the management of cattle for milk production, and the common dairy processes.Prerequisites: ANSC 1513.
",,,,2017-2018,,,,"['breed', ' cattle', ' dairy ', ' milk ']"
ANSC 2543,Animal Science (ANSC), Diseases and Sanitation,"
Clinical studies of the most common livestock diseases embracing anamnesis, etiology, symptoms, diagnosis, therapeutics, and prophylaxis.
",,,,2017-2018,,,,[' livestock ']
ANSC 2553,Animal Science (ANSC), Poultry Technology and Marketing,"
Factors affecting the physical, chemical, microbiological and functional characteristics of poultry and egg products. Product development, processing, quality packaging, and quality control concepts.Prerequisites: ANSC 1513.
",,,,2017-2018,,,,"[' egg', ' poultry ']"
ANSC 3503,Animal Science (ANSC), Animal Nutrition,"
Composition and digestibility of feed, with physiology, preparation, feeding standards, calculation and balancing rations for commercial animal (swine, cattle-beef and dairy, sheep, goats, and horses).Prerequisites: ANSC 1513.
",,,,2017-2018,,,,"[' animal', ' cattle', ' feeding ', ' goat', ' nutri']"
ANSC 3513,Animal Science (ANSC), Anatomy and Physiology,"
Comparative approach, anatomically and physiologically of the basic systems of the domestic animals.Prerequisites: ANSC 1513.
",,,,2017-2018,,,,[' animal']
ANSC 3523,Animal Science (ANSC), Meat Science,"
Methods of slaughtering farm animals, processing, curing preservation and storage of meats and products.
",,,,2017-2018,,,,"[' animal', ' curing ', 'farm', ' meat', ' slaughter']"
ANSC 4533,Animal Science (ANSC), Breeding/Genetics,"
Physiology of reproduction, breeding, breeding systems and practices. Application of genetic principles to the problems of animal breeding. Prerequisite: Junior standing.
",,,,2017-2018,,,,"[' animal', 'breed']"
ANSC 5533,Animal Science (ANSC), Non-Ruminant Nutrition,"
Concepts of the function deficiency, interrelation and bio adaptability of nutrients as part of total feed formulation. The physical, chemical, and biological interrelationships of nutrients as they relate to growth, development, and production of mono-gastric animals.
",,,,2017-2018,,,,"[' animal', ' feed ', ' nutri']"
ANSC 5543,Animal Science (ANSC), Ruminant Nutrition,"
Current concepts in anatomy, physiology, and microbiology of digestion of ruminants, with application of basic principles to efficient management of beef cattle, dairy cattle, goats and sheep.
",,,,2017-2018,,,,"[' beef', ' cattle', ' dairy ', 'digestion', ' goat', ' nutri', ' rumina']"
ANSC 5553,Animal Science (ANSC), Dairy Goat Production and Management,"
Review of current research and production practices; the application of developing technology to goat enterprises, with economic evaluation of such enterprises.
",,,,2017-2018,,,,"[' dairy ', ' goat']"
ANSC 5563,Animal Science (ANSC), Animal Health and Diseases,"
Etiology, epidemiology, immunology, preventive measures, and management practices pertinent to diseases and health of animals.
",,,,2017-2018,,,,"[' animal', 'management practice']"
ANSC 5573,Animal Science (ANSC), Beef Cattle Production and Management,"
Current research and production practices; the application of developing technology for beef cattle enterprises with economic evaluation of such enterprises.
",,,,2017-2018,,,,"[' beef', ' cattle']"
ARCH 3453,Architecture (ARCH), Environmental Systems,"
Fundamentals of environmental systems for buildings: lighting, electrical, heating, ventilating, air conditioning, plumbing, and life safety.
",,,,2017-2018,,,,[' plum']
ARCH 4063,Architecture (ARCH), Project Planning and Feasibility,"
Principles and practice of residential and commercial land development.
",,,,2017-2018,,,,['land']
ARCH 4613,Architecture (ARCH), Landscape Architecture,"
Principles of site development as related to climate, topography, and intended use.
",,,,2017-2018,,,,['land']
ARMY 2212,Army ROTC (ARMY), Individual Leadership Studies and Team Work I,"
Enhances basic individual skills, while emphasizing small-unit team building. Develops student leadership potential through study and application of principles and techniques of leadership in a military environment. Topics covered include communications, map reading and land navigation, survival techniques, and customs and laws of war.Prerequisites: ARMY 1111 and ARMY 1121.
",,,,2017-2018,,,,['land']
ARMY 3313,Army ROTC (ARMY), Principles and Techniques of Leadership and Management,"
Studies leadership techniques and tactical operations at the small-unit level. An induction to the basic team/squad tactical employment. Instruction covers operation orders, troop leading procedures, and squad movement techniques. Individual skills in map reading, land navigation, basic rifle marksmanship and physical fitness are emphasized.Prerequisites: ARMY 2212 and ARMY 2222.
",,,,2017-2018,,,,['land']
ARMY 3323,Army ROTC (ARMY), Leadership Skills and Small Unit Tactics,"
Studies leadership techniques and tactical operations at the small-unit level. In-depth analysis of team/squad tactical procedures and techniques. Instruction covers the principals of offensive and defensive combat operations, patrolling, the decision-making process, troop leading procedures, land navigation, and operation orders. Numerous student oral presentations and practical exercises.Prerequisites: ARMY 3313.
",,,,2017-2018,,,,['land']
ARMY 3993,Army ROTC (ARMY), Independent Study,"
Studies leadership techniques and tactical operations at the small-unit level. An induction to the basic team/squad tactical employment. Instruction covers operation orders, troop leading procedures, and squad movement techniques. Individual skills in map reading, land navigation, basic rifle marksmanship and physical fitness are emphasized. Or it will be an in-depth analysis of team/squad tactical procedures and techniques. Instruction covers the principals of offensive and defensive combat operations, patrolling, the decision-making process, troop leading procedures, land navigation, and operation orders.Prerequisites: ARMY 2212 and ARMY 2222.
",,,,2017-2018,,,,['land']
ARMY 4411,Army ROTC (ARMY), Professional Reading for Army Leaders,"
This course is a study and contemplation of essential componenets for the individual professional development of every Army Leader.  In addition to training as Soldiers and physical fitness conditioning, the mind must improve through reading and critical thinking.  The Army operates in a complex strategic environment demanding the improvement of knowledge for not only military affairs; but, economics, politics, and international affairs.  This course will teach Cadets how to train for new types of missions, how to deploy forces rapidly to distant regions around the world, and how to pursue innovation and change while preserving the Army's core capabilities in an era of fiscal constraint.   Additionally, this course will sharpen the understanding of strategic land power, the indispensable role of ethical leadership, and extraordinary demands of land combat.  A challenging course set up to discuss debate, and think critically about ideas through reading.Prerequisites: ARMY 4413 and ARMY 4423.
",,,,2017-2018,,,,['land']
ARTS 3513,Art (ARTS), Crafts Design,"
The study of several crafts including clay, fibers, paper, textiles and plaster.
",,,,2017-2018,,,,[' fiber']
BIOL 1034,Biology (BIOL), Botany,"
Morphology and physiology of flowering plants. Structure, method of reproduction, and biotic relationships of type representatives of lower plants.
",,,,2017-2018,,,,['botany']
BIOL 1054,Biology (BIOL), Anatomy and Physiology I,"
An introductory course examining the organization of a human body and the mechanisms for maintaining homeostasis.  Topics include chemistry of life, cell and tissue structure, metabolism, skeleton, muscular, nervous, endocrine, and integumentary system.  Designed for students who will pursue a career in nursing.
",,,,2017-2018,,,,[' metaboli']
BIOL 1064,Biology (BIOL), Anatomy and Physiology II,"
An introductory course examining the organization of a human body and the mechanisms for maintaining homeostasis.  Topics include metabolism, the cardiovascular, lymphatic, respiratory, digestive, urinary, and reproductive systems.  Designed for students who will pursue a career in nursing.
",,,,2017-2018,,,,[' metaboli']
BIOL 1123,Biology (BIOL), College Biology II,"
A reflection of the interdependence of plants on animals and how man's existence is depending on successful interactions between plants and animals.
",,,,2017-2018,,,,[' animal']
BIOL 3034,Biology (BIOL), General Microbiology,"
Morphology, physiology, classification, and cultivation of the microorganism relevant to agriculture, pre-medicine, and industry.Prerequisites: CHEM 1033 and BIOL 1015.
",,,,2017-2018,,,,"['agri', ' cultivation ']"
BIOL 3064,Biology (BIOL), Animal Histology,"
Microscopic study of tissues and organs of vertebrates. Relation of structure to function.Prerequisites: BIOL 1015 and BIOL 1025.
",,,,2017-2018,,,,[' animal']
BIOL 3073,Biology (BIOL), Molecular Biology I,"
The dynamics of carbohydrate, fat, protein and nucleic acid metabolism; recombinant DNA evolution, gene structure and function in specialized eukaryotic systems.Prerequisites: BIOL 1025 and CHEM 2043.
",,,,2017-2018,,,,"[' carbohydrate', ' metaboli', ' protein']"
BIOL 4014,Biology (BIOL), Vertebrate Embryology,"
Structure, principles, and progress in vertebrate development. Chickens and pigs as principle laboratory materials.Prerequisites: BIOL 1015 and BIOL 1025.
",,,,2017-2018,,,,"[' chicken', ' pig']"
BIOL 5033,Biology (BIOL), Physio Environ & Man,"
This course explores the absorption, metabolism and excretion of environmental agents, their mechanisms of action, and the processes of adaptation by the exposed organism from the sub-cellular level to that of the total organism.
",,,,2017-2018,,,,[' metaboli']
BIOL 5053,Biology (BIOL), Air Pollutants,"
Introduction of essentials of the toxicology of major air contaminants, the factors governing air quality criteria and standards, and alternatives for air pollution abatement.
",,,,2017-2018,,,,[' contaminant']
BIOL 5063,Biology (BIOL), Micro Activ Toxico,"
Survey of microbial actions in the field of environmental toxicology. Toxigenic microorganisms, major microbial toxins and use of microbial systems in toxicological studies. Microbial alterations of environmental contaminants.
",,,,2017-2018,,,,[' contaminant']
BIOL 5073,Biology (BIOL), Selected Topics in Environmental Toxicology,"
In-depth treatments of several important areas in the field of environmental toxicology, including studies of microbiology of toxic substances, toxic substances in food, poisonous plants and venomous animals, occupational health and safety and chemical ecology.
",,,,2017-2018,,,,"[' animal', 'food', ' poison']"
BIOL 5074,Biology (BIOL), Genetics,"
Laws and principles governing heredity in plants and animals; plant and animal improvement through eugenics.
",,,,2017-2018,,,,[' animal']
BIOL 5094,Biology (BIOL), General Microbiology,"
Morphology, physiology, classification, cultivation of micro-organisms and their relation to agriculture, pre-medicine, and industry.
",,,,2017-2018,,,,"['agri', ' cultivation ']"
BIOL 5143,Biology (BIOL), Field and Animal Ecology,"
Composition, dynamics and distribution of biotic communities in various sections of the southwest. Outdoor camping and cooking.
",,,,2017-2018,,,,[' animal']
BIOL 5183,Biology (BIOL), Experimental Genetics,"
Thorough experimentation to show how variations may be brought about; techniques of mating and breeding to support accepted principles.
",,,,2017-2018,,,,"['breed', ' mating ']"
BIOL 5204,Biology (BIOL), Biology for Teachers,"
Training course for prospective teachers of zoology and botany. Lectures or conferences, field and laboratory work.
",,,,2017-2018,,,,['botany']
CHEG 3043,Chemical Engineering (CHEG), Equilibrium Stage Separation Processes,"
Applications of heat and mass balances and phase equilibria to the design of staged separation processes. Use of graphical methods such as McCabe Thiele and Ponchon Savarit for the treatment of binary systems. Application to distillation, absorption, stripping, and extraction.Prerequisites: CHEG 2053 and CHEG 3053.
",,,,2017-2018,,,,[' distill']
CHEG 3113,Chemical Engineering (CHEG), Introduction to Energy Systems,"
This course introduces fundamental physical and engineering principles associated with various energy systems. Basic energy concepts will be introduced describing the magnitudes and patterns of human energy needs. Historical evolution and present status of the conventional fossil and nuclear-fuelled energy will be investigated along with others such as hydropower, biofuels, and the developing renewable energy systems.Prerequisites: MATH 2024 and PHYS 2523 and (CHEM 1034 or CHEM 1043).
",,,,2017-2018,,,,['biofuel']
CHEG 4011,Chemical Engineering (CHEG), Chemical Engineering Laboratory II,"
Chemical engineering laboratory directed to separation processes such as gas absorption, fractional distillation, extraction, and drying. Study of reaction rates and equilibria in simple chemical systems. Emphasis is placed upon experimental data required for the scale-up to commercial scale equipment.Prerequisites: CHEG 3023 (may be taken concurrently) and CHEG 3043 (may be taken concurrently) and (SPCH 1003 (may be taken concurrently) or COMM 1003 (may be taken concurrently)) and (ENGL 1133 (may be taken concurrently) or ENGL 1143 (may be taken concurrently)) and PHYS 2511 (may be taken concurrently) and PHYS 2521 (may be taken concurrently) and CHEM 1021 (may be taken concurrently).
",,,,2017-2018,,,,[' distill']
CHEG 4033,Chemical Engineering (CHEG), Process Dynamics and Control,"
Dynamic response and control of chemical process equipment such as reactors, heat exchangers, distillation columns. Use is made of fundamental techniques of servomechanism theory such as block diagrams, transfer functions, and frequency response; stability analysis and control loop design. Unsteady state modeling and computer simulation of simple control systems.Prerequisites: CHEG 3063 (may be taken concurrently) and (MATH 4173 (may be taken concurrently) or MATH 3685 (may be taken concurrently)).
",,,,2017-2018,,,,[' distill']
CHEG 4153,Chemical Engineering (CHEG), Bioengineering,"
Design and analysis of biochemical systems with applications in biomedical engineering and metabolic processes, enzyme catalyzed reactions and product separation, biomass production, and wastewater treatment. Emphasis is placed upon the application of biochemical systems structure, reaction kinetics, transport processes, and control in the design and use of biochemical reactors and separation units.
",,,,2017-2018,,,,[' metaboli']
CHEG 5033,Chemical Engineering (CHEG), Environmental Processes,"
Fundamentals of environmental engineering, chemistry, physical-chemistry and transport properties. Energy and mass balances. Reactions and reactors. Biological processes. Bioremediation.
",,,,2017-2018,,,,['bioremed']
CHEG 5043,Chemical Engineering (CHEG), Remediation Technologies,"
Fundamentals of environmental remediation. Physical-chemical processes. Bioremediation. Stabilization and solidification. Thermal methods. Site characterization. Risk assessment. Containment. Remedial Alternatives Applications to real contaminated sites.
",,,,2017-2018,,,,['bioremed']
CHEM 4033,Chemistry (CHEM), Biochemistry,"
A study of the chemistry of biological molecules: proteins, lipids, carbohydrates and nucleic acids. Enzyme catalysis, Bioenergetics, Metabolism of carbohydrates, fats and proteins. Interrelationship of the metabolic pathways.Prerequisites: CHEM 2033 and CHEM 2043.
",,,,2017-2018,,,,"['bioenergetic', ' carbohydrate', ' lipid', ' metaboli', ' protein']"
CHEM 4042,Chemistry (CHEM), Biochemistry Laboratory,"
Experiments in basic methodology for the isolation, purification and characterization of carbohydrates, lipids, proteins, nucleic acids and enzymes from natural products.Prerequisites: CHEM 4033 (may be taken concurrently).Co-requisite: CHEM 4033.
",,,,2017-2018,,,,"[' carbohydrate', ' lipid', ' protein']"
CVEG 2081,Civil Engineering (CVEG), Surveying and Geospatial Concepts,"
Introduction to plane surveying: leveling, horizontal distance and measurements, vertical and horizontal angles, azimuths and bearings, traverse calculations, earthwork and volume computations, stadia, topographical surveys, construction boundaries, coordinate systems; trigonometry applications in civil engineering and pertinent computer software.  The Global Positioning System (GPS) and Geographic Information Systems (GIS) are introduced.Prerequisites: MATH 1124 and CVEG 2001.
",,,,2017-2018,,,,['geospatial']
CVEG 3023,Civil Engineering (CVEG), Geotechnical Engineering,"
Physical and mechanical properties of soil; moisture and its movement in soil; moisture density relationships; soil classification; settlement; consolidation; permeability; testing of soil physical and mechanical properties; and laboratory sessions.Prerequisites: CVEG 2063 and CVEG 2081 and CVEG 3031.
",,,,2017-2018,,,,[' soil']
CVEG 4021,Civil Engineering (CVEG), Geotechnical Engineering Design Laboratory,"
Site investigation methods and the development of soil exploration reports, design of retaining structures, slope stability; design of shallow and deep foundations.Prerequisites: CVEG 3023.
",,,,2017-2018,,,,[' soil']
CVEG 4123,Civil Engineering (CVEG), Hydrology,"
Hydrologic cycle; precipitation; runoff; infiltration; hydrological analysis; unit hydrograph; statistical methods; surface and groundwater; flood forecasting; flood routing; flood control; and computer applications.Prerequisites: CVEG 3063.
",,,,2017-2018,,,,['hydrologic cycle']
